NEW_NAME,YEAR_CODE
id_release2,[99]ER13001 [01]ER17001 [03]ER21001 [05]ER25001 [07]ER36001 [09]ER42001 [11]ER47301 [13]ER53001 [15]ER60001 [17]ER66001
id_interview,[99]ER13002 [01]ER17002 [03]ER21002 [05]ER25002 [07]ER36002 [09]ER42002 [11]ER47302 [13]ER53002 [15]ER60002 [17]ER66002
wtr_stock,[99]S410 [01]S510 [03]S610 [05]S710 [07]S810 [09]ER46952 [11]ER52356 [13]ER58169 [15]ER65366 [17]ER71443
value_stock,[99]S411 [01]S511 [03]S611 [05]S711 [07]S811 [09]ER46954 [11]ER52358 [13]ER58171 [15]ER65368 [17]ER71445
profit_stock,[99]ER15007 [01]ER19203 [03]ER22568 [05]ER26549 [07]ER37567 [09]ER43558 [11]ER48883 [13]ER54634 [15]ER61745 [17]ER67798
wtr_ckg,[99]ER15019 [01]ER19215 [03]ER22595 [05]ER26576 [07]ER37594 [09]ER43585 [11]ER48910 [13]ER54660 [15]ER61771 [17]ER67824
wtr_bonds,[99]ER15025 [01]ER19221 [03]ER22616 [05]ER26597 [07]ER37615 [09]ER43606 [11]ER48931 [13]ER54681 [15]ER61792 [17]ER67846
profit_bonds,[99]ER15026 [01]ER19222 [03]ER22617 [05]ER26598 [07]ER37616 [09]ER43607 [11]ER48932 [13]ER54682 [15]ER61793 [17]ER67847
pension_r,[99]ER15181 [01]ER19349 [03]ER22744 [05]ER26725 [07]ER37761 [09]ER43734 [11]ER49080 [13]ER54836 [15]ER61956 [17]ER68010
pension_s,[99]ER15327 [01]ER19492 [03]ER22888 [05]ER26869 [07]ER37993 [09]ER43966 [11]ER49299 [13]ER55052 [15]ER62173 [17]ER68227
pension_comp_r,[99]ER15182 [01]ER19350 [03]ER22745 [05]ER26726 [07]ER37766 [09]ER43739 [11]ER49085 [13]ER54841 [15]ER61961 [17]ER68015
pension_comp_s,[99]ER15328 [01]ER19493 [03]ER22889 [05]ER26870 [07]ER37998 [09]ER43971 [11]ER49304 [13]ER55057 [15]ER62178 [17]ER68232
own_rent,[99]ER13040 [01]ER17043 [03]ER21042 [05]ER25028 [07]ER36028 [09]ER42029 [11]ER47329 [13]ER53029 [15]ER60030 [17]ER66030
amt_ckg,[99]ER15020 [01]ER19216 [03]ER22596 [05]ER26577 [07]ER37595 [09]ER43586 [11]ER48911 [13]ER54661 [15]ER61772 [17]ER67826
wealth_wo_equity,[99]S416 [01]S516 [03]S616 [05]S716 [07]S816 [09]ER46968 [11]ER52392 [13]ER58209 [15]ER65406 [17]ER71483
wealth_w_equity,[99]S417 [01]S517 [03]S617 [05]S717 [07]S817 [09]ER46970 [11]ER52394 [13]ER58211 [15]ER65408 [17]ER71485
value_ira,[99]S419 [01]S519 [03]S619 [05]S719 [07]S819 [09]ER46964 [11]ER52368 [13]ER58181 [15]ER65378 [17]ER71455
value_vehicles,[99]S413A [01]S513A [03]S613A [05]S713A [07]S813A [09]ER46957 [11]ER52361 [13]ER58174 [15]ER65371 [17]ER71448
amt_pension_r,[99]ER15181 [01]ER19349 [03]ER22744 [05]ER26725 [07]ER37761 [09]ER43734 [11]ER49080 [13]ER54836 [15]ER61956 [17]ER68010
amt_initial_prev_pension_r,[99]ER15221 [01]ER19389 [03]ER22784 [05]ER26765 [07]ER37809 [09]ER43782 [11]ER49116 [13]ER54870 [15]ER61991 [17]ER68045
amt_now_prev_pension_r,[99]ER15223 [01]ER19391 [03]ER22786 [05]ER26767 [07]ER37815 [09]ER43788 [11]ER49122 [13]ER54876 [15]ER61997 [17]ER68051
amt_pension_s,[99]ER15327 [01]ER19492 [03]ER22888 [05]ER26869 [07]ER37993 [09]ER43966 [11]ER49299 [13]ER55052 [15]ER62173 [17]ER68227
amt_initial_prev_pension_s,[99]ER15367 [01]ER19532 [03]ER22928 [05]ER26909 [07]ER38041 [09]ER44014 [11]ER49335 [13]ER55086 [15]ER62208 [17]ER68262
amt_now_prev_pension_s,[99]ER15369 [01]ER19534 [03]ER22930 [05]ER26911 [07]ER38047 [09]ER44020 [11]ER49341 [13]ER55092 [15]ER62214 [17]ER68268
value_house,[99]ER13041 [01]ER17044 [03]ER21043 [05]ER25029 [07]ER36029 [09]ER42030 [11]ER47330 [13]ER53030 [15]ER60031 [17]ER66031
value_home_equity,[99]S420 [01]S520 [03]S620 [05]S720 [07]S820 [09]ER46966 [11]ER52390 [13]ER58207 [15]ER65404 [17]ER71481
home_mort_prin_1,[99]ER13047 [01]ER17052 [03]ER21051 [05]ER25042 [07]ER36042 [09]ER42043 [11]ER47348 [13]ER53048 [15]ER60049 [17]ER66051
home_mort_prin_2,[99]ER13056 [01]ER17063 [03]ER21062 [05]ER25053 [07]ER36054 [09]ER42062 [11]ER47369 [13]ER53069 [15]ER60070 [17]ER66072
value_net_business,[99]ER15002 [01]ER19198 [03]ER22563 [05]ER26544 [07]ER37562 [09]ER43553 [11]ER48878
value_business,[13]ER54625 [15]ER61736 [17]ER67789
debt_business,[13]ER54629 [15]ER61740 [17]ER67793
value_net_other_real_estate,[99]S409 [01]S509 [03]S609 [05]S709 [07]S809 [09]ER46950 [11]ER52354
value_other_real_estate,[13]ER58165 [15]ER65362 [17]ER71439
debt_other_real_estate,[13]ER58167 [15]ER65364 [17]ER71441
value_net_other_assets,[99]S415 [01]S515 [03]S615 [05]S715 [07]S815 [09]ER46960 [11]ER52364 [13]ER58177 [15]ER65374 [17]ER71451
debt_all,[99]ER15031 [01]ER19227 [03]ER22622 [05]ER26603 [07]ER37621 [09]ER43612
debt_credit_card,[11]ER52372 [13]ER58185 [15]ER65382 [17]ER71459
debt_student_loan,[11]ER52376 [13]ER58189 [15]ER65386 [17]ER71463
debt_medical,[11]ER52380 [13]ER58193 [15]ER65390 [17]ER71467
debt_legal,[11]ER52384 [13]ER58197 [15]ER65394 [17]ER71471
debt_family,[11]ER52388 [13]ER58201 [15]ER65398 [17]ER71475
