NEW_NAME,year_index,code,year,stata_command,new_year_ugh
amt_ckg,1,ER15020,99,cap rename ER15020 amt_ckg,1999
amt_ckg,10,ER67826,17,cap rename ER67826 amt_ckg,2017
amt_ckg,2,ER19216,01,cap rename ER19216 amt_ckg,2001
amt_ckg,3,ER22596,03,cap rename ER22596 amt_ckg,2003
amt_ckg,4,ER26577,05,cap rename ER26577 amt_ckg,2005
amt_ckg,5,ER37595,07,cap rename ER37595 amt_ckg,2007
amt_ckg,6,ER43586,09,cap rename ER43586 amt_ckg,2009
amt_ckg,7,ER48911,11,cap rename ER48911 amt_ckg,2011
amt_ckg,8,ER54661,13,cap rename ER54661 amt_ckg,2013
amt_ckg,9,ER61772,15,cap rename ER61772 amt_ckg,2015
amt_initial_prev_pension_r,1,ER15221,99,cap rename ER15221 amt_initial_prev_pension_r,1999
amt_initial_prev_pension_r,10,ER68045,17,cap rename ER68045 amt_initial_prev_pension_r,2017
amt_initial_prev_pension_r,2,ER19389,01,cap rename ER19389 amt_initial_prev_pension_r,2001
amt_initial_prev_pension_r,3,ER22784,03,cap rename ER22784 amt_initial_prev_pension_r,2003
amt_initial_prev_pension_r,4,ER26765,05,cap rename ER26765 amt_initial_prev_pension_r,2005
amt_initial_prev_pension_r,5,ER37809,07,cap rename ER37809 amt_initial_prev_pension_r,2007
amt_initial_prev_pension_r,6,ER43782,09,cap rename ER43782 amt_initial_prev_pension_r,2009
amt_initial_prev_pension_r,7,ER49116,11,cap rename ER49116 amt_initial_prev_pension_r,2011
amt_initial_prev_pension_r,8,ER54870,13,cap rename ER54870 amt_initial_prev_pension_r,2013
amt_initial_prev_pension_r,9,ER61991,15,cap rename ER61991 amt_initial_prev_pension_r,2015
amt_initial_prev_pension_s,1,ER15367,99,cap rename ER15367 amt_initial_prev_pension_s,1999
amt_initial_prev_pension_s,10,ER68262,17,cap rename ER68262 amt_initial_prev_pension_s,2017
amt_initial_prev_pension_s,2,ER19532,01,cap rename ER19532 amt_initial_prev_pension_s,2001
amt_initial_prev_pension_s,3,ER22928,03,cap rename ER22928 amt_initial_prev_pension_s,2003
amt_initial_prev_pension_s,4,ER26909,05,cap rename ER26909 amt_initial_prev_pension_s,2005
amt_initial_prev_pension_s,5,ER38041,07,cap rename ER38041 amt_initial_prev_pension_s,2007
amt_initial_prev_pension_s,6,ER44014,09,cap rename ER44014 amt_initial_prev_pension_s,2009
amt_initial_prev_pension_s,7,ER49335,11,cap rename ER49335 amt_initial_prev_pension_s,2011
amt_initial_prev_pension_s,8,ER55086,13,cap rename ER55086 amt_initial_prev_pension_s,2013
amt_initial_prev_pension_s,9,ER62208,15,cap rename ER62208 amt_initial_prev_pension_s,2015
amt_now_prev_pension_r,1,ER15223,99,cap rename ER15223 amt_now_prev_pension_r,1999
amt_now_prev_pension_r,10,ER68051,17,cap rename ER68051 amt_now_prev_pension_r,2017
amt_now_prev_pension_r,2,ER19391,01,cap rename ER19391 amt_now_prev_pension_r,2001
amt_now_prev_pension_r,3,ER22786,03,cap rename ER22786 amt_now_prev_pension_r,2003
amt_now_prev_pension_r,4,ER26767,05,cap rename ER26767 amt_now_prev_pension_r,2005
amt_now_prev_pension_r,5,ER37815,07,cap rename ER37815 amt_now_prev_pension_r,2007
amt_now_prev_pension_r,6,ER43788,09,cap rename ER43788 amt_now_prev_pension_r,2009
amt_now_prev_pension_r,7,ER49122,11,cap rename ER49122 amt_now_prev_pension_r,2011
amt_now_prev_pension_r,8,ER54876,13,cap rename ER54876 amt_now_prev_pension_r,2013
amt_now_prev_pension_r,9,ER61997,15,cap rename ER61997 amt_now_prev_pension_r,2015
amt_now_prev_pension_s,1,ER15369,99,cap rename ER15369 amt_now_prev_pension_s,1999
amt_now_prev_pension_s,10,ER68268,17,cap rename ER68268 amt_now_prev_pension_s,2017
amt_now_prev_pension_s,2,ER19534,01,cap rename ER19534 amt_now_prev_pension_s,2001
amt_now_prev_pension_s,3,ER22930,03,cap rename ER22930 amt_now_prev_pension_s,2003
amt_now_prev_pension_s,4,ER26911,05,cap rename ER26911 amt_now_prev_pension_s,2005
amt_now_prev_pension_s,5,ER38047,07,cap rename ER38047 amt_now_prev_pension_s,2007
amt_now_prev_pension_s,6,ER44020,09,cap rename ER44020 amt_now_prev_pension_s,2009
amt_now_prev_pension_s,7,ER49341,11,cap rename ER49341 amt_now_prev_pension_s,2011
